NAME,state_white,state_black,state_hispanic,state_asian,state_nhpi,state_twomore,state_aian,avg_exp_year_perc_hispanic,avg_exp_year_perc_black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,percent_adq_couns_hispanic,percent_adq_couns_black,percent_adq_couns_white,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,perc_ap_stem_hispanic,perc_ap_stem_black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
Alabama,404207,242709,58662,10775,837,16616,6916,0.8837500531762731,0.88685785442162135,0.9164575471724743,0.9156652179486179,0.9085475609296859,0.8889186729442713,0.9040209924510846,0.027515941225395066,0.06391515000069413,0.03980247248784544,0.017314603070891867,0.01820388349514563,0.028169014084507043,0.05011198208286674,0.6895619628500138,0.5869254369525079,0.6973196331147068,0.8601764129369487,0.7269417475728155,0.6948356807511737,0.7816349384098544
Alaska,62065,3826,8816,7741,3902,14664,30172,0.8857758552099021,0.8603297830830772,0.8973194258153919,0.8814325044542889,0.8570487324574411,0.8736749194356523,0.8828033918945778,0.15404699738903394,0.11482820976491863,0.2414939382088385,0.2079018028385117,0.33538684544301506,0.14879227053140096,0.18702406335668595,0.7084421235857267,0.7115732368896925,0.7090992047972885,0.760644418872267,0.4899438304040587,0.6782608695652174,0.6649406031069144
Arizona,419741,58599,500267,31930,3991,34270,49541,0.8312115181496617,0.8207728802490257,0.8603978998970044,0.7938557509599258,0.8548695958474155,0.8434207275842144,0.8499224915892021,0.06478435245677373,0.052950158141563966,0.07469266444076007,0.030362481315396112,0.3978222334768296,0.07528786536758193,0.07998539079620161,0.7186538628370849,0.7526447813283892,0.7626200499682922,0.8843423019431988,0.4496708027348696,0.7006200177147919,0.7219381543705868
Arkansas,300184,100876,64503,8056,4012,12770,3133,0.8814714558728143,0.8290946111255476,0.8772916613247732,0.8711010541533272,0.8697834327552341,0.9151001627725344,0.8728170582210312,0.09722307739671203,0.24007751133257207,0.13188868712944934,0.13373083475298125,0.125,0.012547051442910916,0.11239193083573487,0.8547503232559571,0.7781584137859442,0.7682403902951279,0.9237649063032368,0.8389830508474576,0.9372647427854455,0.8364553314121037
California,1429620,334465,3326960,717622,28665,270093,31920,0.8692715595095212,0.857034517909897,0.8952925533093913,0.8870532221045432,0.8700782367878672,0.873638921832718,0.8793081352619972,0.12894048642721342,0.12476009448586403,0.07944680014729104,0.08020464817103103,0.18363618882799732,0.09842898364860532,0.11398553022223504,0.790223333675184,0.7427843803056027,0.8472262069619867,0.9079379453933003,0.6209979809633689,0.8096612162017741,0.7738448678407748
Colorado,485707,41593,306033,28913,2288,37946,6421,0.9084286647911315,0.9254693002068537,0.8882995910275258,0.9066849968964507,0.8784576030440792,0.9010450912866197,0.9021055853702606,0.25014177220819944,0.17160523568618002,0.22007433371181934,0.12474012474012475,0.3245997088791849,0.23590504451038577,0.1863769327204346,0.615202428474531,0.7017586123825584,0.7749818397241048,0.8257103257103258,0.655992236778263,0.6913946587537092,0.780296698704555
Connecticut,277146,64801,126322,26710,628,16611,1349,0.8921828875728366,0.8737984168226065,0.9220921809483987,0.9180574765160932,0.9028975567627673,0.8827234193566496,0.905325843592044,0.8092519193990965,0.8090590960619055,0.9179224144339312,0.8943170488534397,0.8519362186788155,0.9027237354085603,0.8834184858337204,0.7076138473904487,0.7003302282024743,0.8695509042445867,0.8944416749750748,0.8041002277904328,0.7898832684824902,0.7452392011147236
Delaware,59911,40911,23638,5262,180,5085,528,0.8580335993858392,0.8511114199572938,0.8817310233280239,0.9012402197230427,0.8559196580565152,0.8529866929916816,0.8751144329282455,0.22960300093779307,0.2172954434100931,0.23064179981830812,0.34933333333333333,0.2011173184357542,0.20833333333333334,0.23673469387755103,0.71475461081588,0.7328923730197615,0.7937797253246406,0.8826666666666667,0.770949720670391,0.7291666666666666,0.8326530612244898
District of Columbia,9598,56777,14047,1364,76,1906,131,0.8497379353734998,0.7831541455525903,0.8711268310402164,0.8665338567755214,0.8394353643995015,0.8482659983686761,0.8438346735359505,0.7248984329657574,0.6053959201579294,0.31296572280178836,0.4037854889589905,0.75,0.38461538461538464,0.3215686274509804,0.8656413232733604,0.4662572201506178,0.9940387481371088,0.9779179810725552,0.8333333333333334,0.8461538461538461,0.9176470588235294
Florida,1064359,620804,927924,77198,4700,98248,8428,0.792180785361091,0.7669170915383169,0.8308205227069231,0.8215827638314382,0.8038563247632096,0.793794737163933,0.8161176763111718,0.04940341294976373,0.06826883739470675,0.03819981213689861,0.02832849774339136,0.04613426662424435,0.041811846689895474,0.04102931203375782,0.80707254126781,0.6976785658089354,0.805452741240662,0.8952288845905867,0.7133312122176265,0.8249128919860628,0.7976791500263732
Georgia,700307,647132,275693,72356,1836,64529,3439,0.9161676236510872,0.8880367448289411,0.9350253938909103,0.9225364866919639,0.918494596291746,0.9102296312663882,0.9225039258886253,0.02820142709297892,0.08125359401955147,0.012801531042165549,0.009453040492874947,0.03979591836734694,0.05,0.03438051980822609,0.8473092216351653,0.7478069946155053,0.7718718609112938,0.9544278794149461,0.8010204081632653,0.7759259259259259,0.8210951299520565
Hawaii,22066,3102,25709,51709,51700,26030,442,0.8479639453191232,0.8157849156036536,0.8371421852003107,0.8663119433974943,0.8424925284660553,0.850883168596173,0.8600280697244271,0.6707496325330721,0.5251091703056768,0.6230959971661353,0.6429972752043597,0.5806451612903226,0.7205628239940756,0.7349537037037037,0.9130328270455659,0.9617903930131004,0.8813319164009918,0.9461035422343325,0.8548387096774194,0.8458405332016786,0.9148148148148149
Idaho,226503,3239,54457,3715,961,8043,3439,0.8307101498409202,0.861211144677533,0.8634098333870099,0.8691515910546613,0.8704582954850603,0.8598053475488757,0.8670349777719188,0.17674636661978435,0.097,0.13213071257567208,0.0825910931174089,0.31129476584022037,0.12624584717607973,0.11904761904761904,0.5282968320943005,0.667,0.5285228503026883,0.7012145748987855,0.34251606978879706,0.6245847176079734,0.608357628765792
Illinois,952366,333463,521407,101224,2076,69485,5539,0.8738245610599157,0.8526615130538356,0.8992674391532995,0.8961125097609748,0.8829831729754581,0.8879094263761713,0.8887222771190926,0.25646097219129455,0.37562341067239646,0.29512090371951377,0.36338869559508963,0.27171903881700554,0.30045523520485584,0.26641414141414144,0.8161324548419633,0.6868162195194071,0.7233920716312241,0.9324164642552354,0.7972889710412816,0.8163884673748103,0.818620992534036
Indiana,713329,130940,125221,25357,802,51131,2096,0.8807034176919704,0.8468791604694598,0.8961331741973162,0.8928834120771415,0.8891077695648896,0.870959613832584,0.8792897784136693,0.13137983216398405,0.2502087029114056,0.0934911937706101,0.08569182389937106,0.13123359580052493,0.13488372093023257,0.1280997693194925,0.764039070023387,0.6992069289366587,0.7784136200776995,0.8476153039832285,0.7637795275590551,0.7069767441860465,0.7877739331026529
Iowa,381100,30871,54424,12679,1350,20020,1804,0.8925005170323361,0.8994641677763505,0.9046193349370524,0.9041395159179257,0.884804306299205,0.8920359477060762,0.9025999390008811,0.13472473507366245,0.11516954193932183,0.1810763990593434,0.06098579782790309,0.23679417122040072,0.09946236559139784,0.13361611876988336,0.5496898423365211,0.7526472337894111,0.40529412256990066,0.7552213868003341,0.48816029143898,0.5887096774193549,0.6069989395546129
Kansas,314703,33370,96066,13903,935,25384,4191,0.8566065367124568,0.8257789965591442,0.8903831053845956,0.8856709351225149,0.8795935318398601,0.8428651838041968,0.8573774444431905,0.12209344704424521,0.06457826439578264,0.2464840858623242,0.06363203050524309,0.2685121107266436,0.12083333333333333,0.15215811655282663,0.5180771193235658,0.6472019464720195,0.47001206615089786,0.7347473784556721,0.40346020761245677,0.675,0.6358087487283826
Kentucky,522759,71779,45754,12129,850,26483,838,0.861374078584091,0.8298206363310261,0.8885157162547368,0.8902871235533976,0.8785494444632295,0.8827611777270681,0.8722606496353409,0.058084772370486655,0.13367702256591146,0.045390451033312275,0.06642274134534197,0.046511627906976744,0.04310344827586207,0.08234448040273283,0.7616431187859759,0.7112558223669335,0.7155727402076195,0.839572192513369,0.751937984496124,0.7586206896551724,0.7464940668824164
Louisiana,318784,308685,49419,11312,537,17688,4678,0.8324618789896995,0.8003088512233318,0.8632248598143681,0.8430181326208451,0.8858791844473907,0.8495072368972836,0.8725898393372247,0.1264066998168019,0.20547005419744335,0.07018489206210218,0.12246621621621621,0.029567854435178165,0.13846153846153847,0.11054475947754062,0.39169501875599755,0.2975142354044227,0.4568416798572054,0.5619369369369369,0.1599696739954511,0.5846153846153846,0.3835616438356164
Maine,154662,6411,3903,2603,192,4408,1090,0.8833474325845815,0.8420360197998947,0.8786001181462683,0.9022879116408631,0.8565438568534812,0.8842779949260887,0.8761627860875257,0.6911627906976744,0.5928495197438634,0.7264077301208887,0.7875288683602771,0.52,0.7540983606557377,0.6923868312757202,0.8269767441860465,0.8820704375667022,0.7804384058735416,0.8833718244803695,0.66,0.7540983606557377,0.8425925925925926
Maryland,333289,301336,155280,58813,1299,40705,2384,0.8185123755537133,0.8195656192211926,0.8864067003964253,0.8799751140705104,0.8514501086533316,0.8361900360875489,0.8640826460447046,0.3606128187724232,0.20649023454918397,0.1546879592436563,0.24197174978379937,0.1607717041800643,0.1858974358974359,0.22238358021105625,0.7519150586638224,0.6739164362793186,0.8469481728225727,0.9023349668492361,0.7813504823151125,0.6858974358974359,0.8380288508084035
Massachusetts,567116,84072,188779,65190,806,34324,2080,0.856719225299101,0.8551387860350447,0.8965163628685001,0.8943632996096301,0.8859130099585396,0.8935319645571749,0.8909849202543675,0.7431212854941669,0.7283522643457737,0.813800742612874,0.7767707113396812,0.8179059180576631,0.8363636363636363,0.7875,0.797233839606721,0.8356689777253282,0.8948381124736081,0.9320739345180508,0.849772382397572,0.8945454545454545,0.8746559633027523
Michigan,975143,256695,114335,49744,1267,57101,9188,0.8877206406468118,0.8517074976447406,0.916001939497346,0.920702577412404,0.9048334609317163,0.9131710437579571,0.903412279407087,0.07357159933062396,0.15730323079031636,0.068863900498916,0.07341662543295398,0.1232784682566342,0.08737864077669903,0.09322865554465162,0.6127779105904853,0.40807884474015377,0.6869769738153428,0.8156853043047996,0.4588511924756466,0.7378640776699029,0.6333239871022011
Minnesota,584061,95921,81196,59758,690,41360,13911,0.8709833695685564,0.850139761036744,0.8910397339960427,0.8879957037378718,0.8581735476728493,0.8793127070471621,0.8809370845545751,0.1366687255507515,0.17882171478389164,0.09222684998581815,0.08971747871951538,0.26245495018019926,0.10952380952380952,0.14802309116653958,0.525633106856084,0.545183247828857,0.5154383188777922,0.6027468797326231,0.25015899936400254,0.5238095238095238,0.5235813092255746
Mississippi,211330,231271,17918,5154,306,10242,1168,0.879765264503593,0.8524906700819078,0.9141102917031626,0.9071701684694153,0.9366021260342356,0.9064812468190658,0.8945250636603,0.08085396320690438,0.1621769958762275,0.06077662746674708,0.060762766645119586,0.010256410256410256,0.058823529411764705,0.05155367231638418,0.548489666136725,0.4436170528376895,0.47178945957717694,0.6735617323852618,0.18974358974358974,0.6617647058823529,0.5501412429378532
Missouri,644859,144048,58221,18248,2440,35802,3407,0.8630527041035689,0.8363154885549021,0.8989446814844111,0.9006737429590698,0.8877727652365685,0.8851576697725302,0.8974645360446207,0.19926106831986976,0.3194971943838671,0.2617915190028107,0.1917882225823879,0.1911504424778761,0.17391304347826086,0.21890871207188436,0.5754900118980525,0.657886354169219,0.5050714896737138,0.7779578606158833,0.4283185840707965,0.5700483091787439,0.6810782653991405
Montana,115360,1263,6835,1120,335,5358,16315,0.8762906792002456,0.8845296742283619,0.8822760708887939,0.8910494677964347,0.8504104041772366,0.8732016256918514,0.8672396364403974,0.21409066084107045,0.12048192771084337,0.22960252589335772,0.1507177033492823,0.5316949931097841,0.1935483870967742,0.32107623318385653,0.6018569087930092,0.6650602409638554,0.5615096343946413,0.6076555023923444,0.4630225080385852,0.5268817204301075,0.57847533632287
Nebraska,214947,21493,60546,8915,448,12226,4366,0.874053964710544,0.8612691773110688,0.8956749499919423,0.8699250753165733,0.8828395629342907,0.9026765854349824,0.8773850108155613,0.17514312711911512,0.17186515437933209,0.24458742840981404,0.1522921522921523,0.34086097388849684,0.15833333333333333,0.13253789100290228,0.544272136068034,0.8695652173913043,0.44866011454429755,0.8391608391608392,0.28440366972477066,0.6,0.7023540793292486
Nevada,157433,53749,205765,26657,6867,30247,4286,0.8814543013048014,0.8849012207283761,0.9075396715394494,0.912077871668679,0.882294437232975,0.9007236213506288,0.9035799417090097,0.028226077600699347,0.04685870698644421,0.04628499171535711,0.020839978734715575,0.11137440758293839,0.016080402010050253,0.03080906148867314,0.9289724968058638,0.9158628779979145,0.8744440568588122,0.9653375863902179,0.7290679304897314,0.9537688442211055,0.9409708737864078
New Hampshire,152021,3584,9924,5922,166,5826,460,0.8927595762498961,0.9123018584303182,0.9163147606945675,0.9137729436866433,0.9184867572982336,0.9283822695457764,0.9096480280584612,0.9482176360225141,0.967400162999185,0.9372833733259501,0.9519284516489659,0.9241379310344827,0.9622641509433962,0.9355333844973139,0.8645403377110694,0.8573757131214343,0.768206895137308,0.8228060368921185,0.7448275862068966,0.8301886792452831,0.7421335379892555
